Date,Open,High,Low,Close,Volume
03-01-2000,29.125,29.9375,28.75,29.875,8288800
04-01-2000,30.0625,31.875,30,31.625,15834500
05-01-2000,32.125,33.125,31.625,32.9375,19556200
06-01-2000,33,33.125,31.625,31.625,7796500
07-01-2000,32,32.125,30.8125,31.125,6682100
10-01-2000,35,35.9375,34,35.875,33508300
11-01-2000,35.5625,36.75,35.25,36.25,19863000
12-01-2000,35.875,35.9375,33.3125,33.6875,12924100
13-01-2000,34.4375,35,33.8125,34.8125,8614500
14-01-2000,34.8125,35,33.4375,33.5625,8041500
18-01-2000,33.75,34.8125,33.0625,34.5,7992400
19-01-2000,34.3125,34.9375,34.0625,34.75,6462900
20-01-2000,35,35.4375,33.4375,33.625,7114700
21-01-2000,33.5625,33.625,32.6875,32.75,8172300
24-01-2000,33,34,32.375,33.3125,8230400
25-01-2000,38,38,36.5,37.5,29507500
26-01-2000,37.4375,37.4375,36.375,36.625,10260300
27-01-2000,36.875,37.625,36.625,37.125,9685900
28-01-2000,36.8125,37.5,36.4375,36.75,7399700
31-01-2000,36.0625,36.4375,35.8125,36.3125,7802300
01-02-2000,36,36.4375,35.9375,36,7139500
02-02-2000,35.9375,38,35.8125,37.25,9284300
03-02-2000,37.625,38.5,37.5625,37.875,10762100
04-02-2000,38,38.25,37,38.125,6188300
07-02-2000,38,38.4375,37.5625,38,6070500
08-02-2000,37.625,37.9375,37,37.5625,5702400
09-02-2000,37.3125,39,37.125,37.6875,6080400
10-02-2000,36.875,37.875,36.875,36.9375,5599300
11-02-2000,37.0625,38.625,36.8125,37.875,7149200
14-02-2000,37,37.375,36.625,37,5131400
15-02-2000,36.5625,37.1875,35.375,36.875,6987100
16-02-2000,36.5625,37.25,36.5625,36.9375,4414800
17-02-2000,36.6875,36.875,35.6875,36.5,4692100
18-02-2000,36.375,36.375,35.3125,35.5,6406200
22-02-2000,35.3125,35.4375,32.625,33.375,12572100
23-02-2000,33.5,34.625,32.625,34.125,8258700
24-02-2000,34,34.0625,32.4375,33.1875,8226100
25-02-2000,32.875,33.0625,31,31,8326700
28-02-2000,32.3125,32.9375,32,32.75,7836400
29-02-2000,32.5,34,32.25,34,5432100
01-03-2000,33.8125,34.75,33.1875,34.6875,7152500
02-03-2000,34.4375,34.625,33.8125,34.5,6499300
03-03-2000,36.375,36.5,34.875,36.5,14363200
06-03-2000,35.875,36.75,35.5625,36,7241900
07-03-2000,36.375,36.375,35.4375,36,7485700
08-03-2000,35.875,35.9375,34.875,34.9375,6209600
09-03-2000,35.125,36.25,34.625,36.25,5547100
10-03-2000,35.5,35.75,34.6875,35.125,6966600
13-03-2000,33.125,35.5,33,34.9375,5176600
14-03-2000,34.75,34.75,33.8125,34.125,5514100
15-03-2000,34,34.9375,33.625,34.8125,6553300
16-03-2000,35,35.5,33.75,35.3125,8222600
17-03-2000,34.75,36.9375,34.5625,36.8125,8635500
20-03-2000,37.8125,39.5,37.6875,39.4375,16756300
21-03-2000,39.5,40.0625,38.625,39.1875,13181700
22-03-2000,39.9375,41.4375,39.75,40.5,13540600
23-03-2000,39.875,41.9375,39.8125,41.5625,8053600
24-03-2000,41.5,41.75,41.0625,41.4375,6540900
27-03-2000,41.5,42.1875,40,41.75,5719400
28-03-2000,41.25,42.5,40.625,40.9375,7490100
29-03-2000,41,41.1875,40.25,40.8125,5092800
30-03-2000,40,41,39.75,40.25,5345500
31-03-2000,41.5,41.5,40.25,41.25,5285900
03-04-2000,41.4375,41.875,41.0625,41.8125,4804900
04-04-2000,41.75,41.9375,38.375,41.125,6954800
05-04-2000,40.125,40.75,39.25,40,5005500
06-04-2000,40.375,41.25,40,40.4375,3566700
07-04-2000,40.9375,41.375,40.5,41,3253500
10-04-2000,40.75,41.375,40.25,41.3125,3616400
11-04-2000,41.9375,42.5,41.75,42.5,6829900
12-04-2000,42.625,43.625,40,40.0625,8301100
13-04-2000,40.75,40.75,39.25,39.25,5009900
14-04-2000,38.75,39.5,37.6875,38.875,8136900
17-04-2000,37.5,38.75,37.0625,38.75,6449000
18-04-2000,38.5,39.75,38,39.5,4217800
19-04-2000,40.6875,41.5,40,40.9375,8463400
20-04-2000,41.125,42.5,40.8125,42.25,5365400
24-04-2000,41.125,41.4375,40.125,40.25,3792300
25-04-2000,40.5625,40.5625,39.6875,40.5,3698800
26-04-2000,41,42.5,40.75,42.375,5921600
27-04-2000,41,42.25,40.875,41.625,4611700
28-04-2000,42.5,43.625,42.25,43.625,11572900
01-05-2000,43.5625,43.875,42,42,8798800
02-05-2000,41.5,43.0625,40.3125,43,9171100
03-05-2000,41.0625,42,39.625,41.25,6425800
04-05-2000,41.875,41.9375,39.375,39.6875,7031200
05-05-2000,39.625,40.4375,39.25,39.5625,3424500
08-05-2000,39.625,41.125,39.5625,40.5625,3533900
09-05-2000,40.8125,41.625,39.75,40.75,3361100
10-05-2000,40.625,41.75,40.5,41.0625,6283900
11-05-2000,41.125,41.375,40.5625,41.125,3289500
12-05-2000,41.0625,41.375,40.0625,40.80860138,3062700
15-05-2000,40.6875,41.125,40.1875,40.8125,3839500
16-05-2000,41.4375,42.625,41.25,42.1875,5858600
17-05-2000,42.4375,42.875,42.0625,42.25,4034600
18-05-2000,42.5,42.8125,41,41.1875,4334300
19-05-2000,40,41.25,39.75,41.0625,4401400
22-05-2000,41.1875,41.5,40,40.875,4144300
23-05-2000,39.75,40.6875,39.75,40.0625,4167400
24-05-2000,40,40.8125,38.1875,39.3125,4347900
25-05-2000,39.3125,40.4375,39.0625,39.8125,3866100
26-05-2000,39.9375,40.1875,39.25,39.875,3322700
30-05-2000,40.875,42,40.625,41.875,7247600
31-05-2000,41.9375,42.4375,41.625,42.1875,5111000
01-06-2000,42.4375,42.5625,41.125,41.75,3845900
02-06-2000,41.9375,42,40.25,40.4375,5758100
05-06-2000,40.5,41,40,40.625,4162000
06-06-2000,40.5,41.5625,40.4375,40.875,3790100
07-06-2000,40.8125,40.9375,40.125,40.1875,3328100
08-06-2000,40.4375,41.125,40.125,40.4375,3031900
09-06-2000,40.5,42,40.5,41.5625,3963300
12-06-2000,41.3125,41.6875,40.375,40.71089935,3427600
13-06-2000,41.5,41.5,40.1875,40.1875,4932900
14-06-2000,40.75,41.0625,40.4375,40.75,2901400
15-06-2000,41,42,40.875,42,4165200
16-06-2000,42,42.25,41.0625,41.1875,4906400
19-06-2000,41.3125,42,41.125,41.9375,2675400
20-06-2000,41.9375,42.0625,41.5625,41.75,3251400
21-06-2000,41.5,42.0625,41.5,41.75,2892700
22-06-2000,41.75,41.8125,41.0625,41.5,2825700
23-06-2000,41.25,41.3125,39.375,39.625,5444600
26-06-2000,39.8125,40.5,39.5625,40.5,3770400
27-06-2000,40.5,40.5,39.5625,40,3331200
28-06-2000,40,40.1875,38.625,39.15620041,3122600
29-06-2000,38.625,40.125,38.0625,39.5,4736900
30-06-2000,38.875,39.4375,37.75,38.8125,6521300
03-07-2000,38.125,38.6875,38,38.5625,2292200
05-07-2000,38.75,38.875,37.875,38.0625,4154500
06-07-2000,38.4375,39.1875,37.4375,37.5,3820800
07-07-2000,36.75,38.125,36.5,38,9198100
10-07-2000,37.5,38.4375,37.4375,37.8125,4069500
11-07-2000,37.5,37.75,36,36,3783200
12-07-2000,37.8125,38.125,36.0625,36.0625,4097200
13-07-2000,37.5,37.6875,36.25,37.125,5022500
14-07-2000,36.375,37.5,36.25,37.4375,4055000
17-07-2000,37.4375,37.4375,36.125,36.5625,4393800
18-07-2000,36.125,36.1875,35.375,35.75,4634000
19-07-2000,36.875,37.5625,36.4375,37,5916700
20-07-2000,37.8125,39.3125,37.5,38.625,5399000
21-07-2000,38.6875,38.6875,37.1875,37.4375,3732300
24-07-2000,37.0625,37.25,36.5625,36.625,2940400
25-07-2000,36.625,37.625,36.3125,37.5,3690900
26-07-2000,37.375,38.25,37.0625,38.0625,4645400
27-07-2000,38.1875,38.5,37.5625,38,2697100
28-07-2000,37.625,38.1875,37.1875,37.875,2479300
31-07-2000,38,38.75,38,38.5625,4135700
01-08-2000,39.4375,40.3125,39,39.5,8239600
02-08-2000,40.125,40.1875,39.5625,40.125,4549800
03-08-2000,39.75,43,39.4375,42.5,4391600
04-08-2000,40.9375,42.8125,40.9375,42.4375,14756900
07-08-2000,42,42,40.5625,41.0625,6054800
08-08-2000,41.875,42.125,41.375,41.375,4957300
09-08-2000,41.5,41.75,40.3125,40.6875,3604500
10-08-2000,40.5,40.75,39.5625,40.5,3619900
11-08-2000,40.75,41.375,40.375,40.625,4870000
14-08-2000,41,41,40.375,40.9375,2799900
15-08-2000,40.875,41.125,40,40.5,2877800
16-08-2000,40.3125,40.375,39.25,39.875,2610200
17-08-2000,39.8125,40.1875,39.3125,40.1875,2325400
18-08-2000,40,40,38.75,39.125,4483600
21-08-2000,38.875,39.25,38.125,38.4375,3027600
22-08-2000,38.4375,38.4375,37.6875,37.9375,3655200
23-08-2000,38.1875,38.375,37.4375,37.4375,3260100
24-08-2000,38.1875,38.375,37.625,37.875,5430100
25-08-2000,38.125,38.375,38,38.125,2197500
28-08-2000,37.75,38.4375,37.75,38.0625,3002200
29-08-2000,37.6875,38.5,37.625,38.4375,3560700
30-08-2000,38.875,38.875,38.125,38.375,3187000
31-08-2000,38.3125,39.8125,38.3125,38.95700073,4437600
01-09-2000,39,39.375,38.125,39,1970300
05-09-2000,39.3125,39.4375,38.5625,38.625,3218200
06-09-2000,38.9375,40,38.8125,40,4352900
07-09-2000,40,41.5,39.625,41.5,4127300
08-09-2000,39.875,40.6875,39.6875,40.25,3283500
11-09-2000,39.8125,40.1875,39.1875,39.9375,2467300
12-09-2000,39.625,39.75,38.5625,38.625,3250500
13-09-2000,38.9375,40,38.8125,40,3516400
14-09-2000,39,39.4375,38.5,39.375,3063300
15-09-2000,39.4375,39.8125,38.8125,39.1875,4940400
18-09-2000,39,39.0625,38,38.4375,2637500
19-09-2000,38.5,38.5,37.5,38.3125,2982800
20-09-2000,38.375,38.4375,37,37.1875,4351500
21-09-2000,37.1875,37.75,37,37.125,3069500
22-09-2000,37.375,37.8125,36.8125,37.4375,3747600
25-09-2000,37.875,38.125,37.3125,37.5625,2592000
26-09-2000,37.5625,38.1875,37.5,37.6875,3129600
27-09-2000,37.875,38.375,37.5,37.5625,2598400
28-09-2000,37.9375,39.4375,37.75,38.8125,4081700
29-09-2000,38.5625,39.1875,37.9375,38.25,4780600
02-10-2000,38.75,39.875,38.5,39.5,3580900
03-10-2000,39.5,40.125,39.25,39.3125,4659800
04-10-2000,39.75,40.1875,39.625,39.875,4087700
05-10-2000,40.125,41.5,40,41.25,5528600
06-10-2000,40.875,41.3125,39.875,40.6875,4156300
09-10-2000,40.5625,41.0625,40.5625,40.9375,2991800
10-10-2000,41.25,41.9375,41.125,41.375,4882700
11-10-2000,41.5625,41.5625,40.0625,40.3125,5195300
12-10-2000,40.25,40.25,38.75,39,5168200
13-10-2000,38.125,40.0625,38.0625,39.75,5734100
16-10-2000,39.0625,39.125,37.5,38.25,5047100
17-10-2000,37.5625,37.875,34.25,35.4375,8274700
18-10-2000,34.125,35.9375,33.5,35.5,9345600
19-10-2000,35.5,36,34.4375,34.9375,5480600
