Date,Open,High,Low,Close,Volume
07-01-2000,26.66679955,27.62509918,24.16679955,27.62509918,14548875
14-01-2000,28.00009918,31.33349991,26.41679955,30.25009918,12506483
21-01-2000,29.91679955,31.91679955,29.00009918,30.54179955,10056997
28-01-2000,30.45849991,30.50009918,26.08349991,28.00009918,20436047
04-02-2000,28.04179955,29.91679955,28.00009918,28.33349991,9266052
11-02-2000,28.25009918,30.62509918,27.62509918,28.41679955,9113052
18-02-2000,28.66679955,32.41680145,28.41679955,30.41679955,11443591
25-02-2000,30.45849991,34.25019836,29.12509918,31.70849991,10778795
03-03-2000,31.75009918,34.25019836,30.87509918,32.62509918,13566980
10-03-2000,32.25009918,34.62519836,30.79179955,33.91690063,9152051
17-03-2000,33.29180145,34.62519836,30.12509918,33.79190063,15148124
24-03-2000,33.37519836,36.62519836,33.16680145,34.33349991,17022362
31-03-2000,34.29190063,36.57310104,33.83349991,34.91690063,13986079
07-04-2000,34.83349991,35.91690063,31.12509918,34.25019836,20046947
14-04-2000,34.04190063,36.79190063,31.25009918,31.87509918,18277106
20-04-2000,31.66679955,35.33349991,31.66679955,33.83349991,11989139
28-04-2000,33.52099991,37.00019836,33.25019836,35.08349991,14575274
05-05-2000,35.29190063,38.25019836,29.29179955,31.58349991,16688313
12-05-2000,31.33349991,32.75009918,29.50009918,31.58349991,8724555
19-05-2000,31.45849991,32.70849991,30.00009918,30.16679955,7249313
26-05-2000,30.37509918,34.875,28.66679955,34.5,14352734
02-06-2000,34.875,40.5,34.5,38,12314200
09-06-2000,37.875,39.6875,35.625,37.3125,7257800
16-06-2000,35.75,43.25,35.4375,42.0625,14357400
23-06-2000,41.25,44.25,36.75,37.8125,12672900
30-06-2000,39,42,38.0625,42,10900900
07-07-2000,41.3125,42.9375,40.125,41.75,6303900
14-07-2000,41.625,44,41.5625,42.625,9694200
21-07-2000,42.625,45.4375,41.5,43.25,7954600
28-07-2000,43.75,46.1875,43.0625,43.25,8679600
04-08-2000,43.8125,46.3125,43.25,45.625,8468400
11-08-2000,45.75,47.625,44.5,45.0625,9023900
18-08-2000,44.3125,45,43.0625,44.1875,6218100
25-08-2000,44.1875,46.0625,42.4375,42.875,6829100
01-09-2000,43,45.375,39.875,43.75,12392200
08-09-2000,43.75,44.5,40.5,41.625,4498400
15-09-2000,41.5,44.8125,41.25,44.125,7780000
22-09-2000,44.125,47.5,42.625,47,9008000
29-09-2000,47.125,55.9375,46.75,52.5,14702000
06-10-2000,52.875,53.75,50.375,50.9375,11826200
13-10-2000,51.0625,52.75,47.25,47.875,13798400
20-10-2000,48.5,51.875,47.625,50,10763000
27-10-2000,50.5,55.625,49.625,53.6875,12942700
03-11-2000,53.9375,61,53.0625,55.0625,15768300
10-11-2000,55.1875,57.3125,53.5,55.1875,9371300
17-11-2000,55,58.6875,54.75,55.9375,9196600
24-11-2000,55.875,61.25,55.75,58.9375,8994700
01-12-2000,59.25,60,51.375,52.5625,17675000
08-12-2000,50.9375,51,43.25,46.875,29414000
15-12-2000,44.8125,45.75,36.75,39,23904200
22-12-2000,39.9375,50.75,39.375,50.5625,15743500
29-12-2000,49.8125,52.8125,48.5625,48.625,7462800
05-01-2001,49.6875,51,43.875,44.6875,14336500
12-01-2001,44.9375,50.25,44.8125,48.5,11374600
19-01-2001,48.375,49.5,46.0625,46.5,7619800
26-01-2001,46.1875,46.875,44.1875,45.6875,12021900
02-02-2001,45.75,46.375,39.375,39.625,16125000
09-02-2001,40.0625,43.25,39.375,42.25,13924300
16-02-2001,42.6094017,43.8125,40.4375,41.625,9111000
23-02-2001,41.5625,45,41.0625,43.625,11833600
02-03-2001,43.8125,44.125,37,39,17452500
09-03-2001,38.8125,41.8125,38.125,38.875,7919800
16-03-2001,38.4375,38.5625,32.875,33.7655983,18981300
23-03-2001,34.9375,39.3125,33.375,38.375,26117900
30-03-2001,38.6875,40,36.4375,37.0625,13231100
06-04-2001,37.5,38.125,35.25,36.1875,14609300
12-04-2001,36.13999939,40,33.90000153,34.11000061,14942100
20-04-2001,34.45000076,39.5,34.11000061,36,17205600
27-04-2001,35.77000046,36.79999924,33.79000092,34.04000092,15177500
04-05-2001,35.34999847,35.40000153,30.61000061,33.25,29515300
11-05-2001,33.79999924,36.22999954,33.24000168,35.79000092,16182900
18-05-2001,36,39.50999832,35.54999924,38.63999939,15461100
25-05-2001,38.65000153,42.84999847,38.36000061,40.41999817,13142000
01-06-2001,40.52999878,41.25999832,37.70000076,40.13999939,10792100
08-06-2001,40.25,40.70999908,38.15000153,38.88000107,10366100
15-06-2001,38.88000107,39.31000137,35.90000153,36.70000076,15079400
22-06-2001,36.59999847,39.09000015,36.31999969,36.97000122,16694200
29-06-2001,38.20000076,42,35.90000153,40,23557000
06-07-2001,41.13000107,41.61000061,38.63999939,39.08000183,6107300
13-07-2001,39.5,41.74000168,38,41.40000153,14073200
20-07-2001,41.18000031,43.49000168,40.61999893,41,13980500
27-07-2001,40.70000076,41.25,37.75,38.79000092,15948400
03-08-2001,39.15999985,39.81999969,37.29000092,37.74000168,10839600
10-08-2001,37.45000076,39.52999878,37.38999939,39.11999893,10469300
17-08-2001,39.15499878,40.18999863,38.5,38.50999832,8498400
